CEP Proposto,Tipo,Novo Endereço,Endereço Antigo,Informação Adicional,Bairro
43700-050,Rua,Santa  CatarIna,,,Centro
43700-052,Avenida,Engenheiro  Walter Aragão de Souza,,,Centro
43700-054,Rua,Manoel Bento de Souza,,,Centro
43700-056,Avenida,Luís Eduardo Magalhães,,,Centro
43700-058,Rua,L,,(Lot Sol Nascente),Centro
43700-060,Rua,O,,(Lot Sol Nascente),Centro
43700-062,Rua,N,,(Lot Sol Nascente),Centro
43700-064,Rua,M,,(Lot Sol Nascente),Centro
43700-066,Rua,A,,(Lot Sol Nascente),Centro
43700-068,Rua,K,,(Lot Sol Nascente),Centro
43700-070,Rua,J,,(Lot Sol Nascente),Centro
43700-072,Travessa,I,,(Lot Sol Nascente),Centro
43700-074,Rua,G,,(Lot Sol Nascente),Centro
43700-076,Rua,H,,(Lot Sol Nascente),Centro
43700-078,Rua,F,,(Lot Sol Nascente),Centro
43700-080,Rua,E,,(Lot Sol Nascente),Centro
43700-082,Rua,D,,(Lot Sol Nascente),Centro
43700-084,Rua,C,,(Lot Sol Nascente),Centro
43700-086,Rua,B,,(Lot Sol Nascente),Centro
43700-088,Via,Férrea,,,Centro
43700-090,Avenida,Washington Luís,,,Centro
43700-092,Avenida,Orlando Moscoso,,,Centro
43700-094,Rua,E,,(Lot Encanto das Árvores),Centro
43700-096,Rua,B,,(Lot Encanto das Árvores),Centro
43700-098,Rua,C,,(Lot Encanto das Árvores),Centro
43700-100,Rua,D,,(Lot Encanto das Árvores),Centro
43700-102,Avenida,Rui Barbosa,,,Centro
43700-104,Rua,Walter José TolentIno Alves,,,Centro
43700-106,Praça,Sete de Novembro,,,Centro
43700-108,Rua,Hermínio Manoel Bonifácio,,,Centro
43700-110,Rua,do Colégio Padre Luiz PalmeIra,,,Centro
43700-112,Avenida,Engenheiro  Elmo Serejo de Farias,,,Centro
43700-114,Rua,Marechal  Hermes da Fonseca,,,Centro
43700-116,Rua,Engenheiro  Paulo Moreira,,,Centro
43700-118,Rua,Manso Cabral,,,Centro
43700-120,Avenida,Altamirando de Araújo Ramos,,,Centro
43700-122,Rua,Vereador  João Campos,,,Centro
43700-124,Rua,Anita QueIroz,,,Centro
43700-126,Rua,Diomedes Campos,,,Centro
43700-128,Escada,Antônio Apolinário da Hora,,,Centro
43700-130,Rua,Antônio Apolinário da Hora,,,Centro
43700-132,Travessa,Antônio Apolinário da Hora,,,Centro
43700-134,Rua,Quinze de Novembro,,,Centro
43700-136,Travessa,Padre  Antônio MonteIro,,,Centro
43700-138,Praça,da Bandeira,,,Centro
43700-140,Rua,Professora  Maria de Souza Chaves,Antiga Rua da Aroeira,,Centro
43700-142,Rua,Primeiro de Janeiro,,,Centro
43700-144,Rua,Pastor  Gabino Trigo Pazo,,,Centro
43700-146,Rua,Pergentino Rocha,,,Centro
43700-148,Rua,Padre  Emmile Félix Wagner,,,Centro
43700-150,Praça,Sete de Setembro,,,Centro
43700-152,Rua,Padre  Agenor Birner,,,Centro
43700-154,Rua,Djalma Castor da Rocha,,,Centro
43700-156,Rua,do Terminal Rodoviário,,,Centro
43700-158,Rua,Maria Quitéria,,,Centro
43700-160,Rua,Teive E Argolo,,,Centro
43700-162,2ª Travessa,Sete de Setembro,,,Centro
43700-164,Rodovia,BR-324,,,Centro
43700-170,Rua,BR-324,,,Recanto dos Eucaliptos
43700-200,Via,Férrea,,,Recanto dos Eucaliptos
43700-202,Avenida,dos  Eucaliptos,Antiga Av. Paulo Ganem Souto,,Recanto dos Eucaliptos
43700-204,Rua,Antônio Carlos Magalhães,,,Recanto dos Eucaliptos
43700-206,Travessa,Caminho das Árvores,,,Recanto dos Eucaliptos
43700-208,Rua,Caminho das Árvores,,,Recanto dos Eucaliptos
43700-210,Rua,Santana,,,Recanto dos Eucaliptos
43700-212,Travessa,Santana II,,,Recanto dos Eucaliptos
43700-214,Rua,Alto dos Eucaliptos,,,Recanto dos Eucaliptos
43700-216,Rua,Santa  Rita I,,,Recanto dos Eucaliptos
43700-218,Beco,Alto dos Eucaliptos I,,,Recanto dos Eucaliptos
43700-220,Travessa,Alto dos Eucaliptos,,,Recanto dos Eucaliptos
43700-222,3ª Travessa,Santa  Rita,,,Recanto dos Eucaliptos
43700-224,2ª Travessa,Santa  Rita,,,Recanto dos Eucaliptos
43700-226,Travessa,Santana,,,Recanto dos Eucaliptos
43700-228,3ª Travessa,Magalhães,,,Recanto dos Eucaliptos
43700-230,Avenida,Contorno,Antiga Tv. Magalhães,,Recanto dos Eucaliptos
43700-232,Rua,B,,,Recanto dos Eucaliptos
43700-234,Rua,C,,,Recanto dos Eucaliptos
43700-236,Rua,D,,,Recanto dos Eucaliptos
43700-238,Rua,A,,,Recanto dos Eucaliptos
43700-240,1ª Travessa,Magalhães,,,Recanto dos Eucaliptos
43700-242,Rua,Boa Vista,,,Recanto dos Eucaliptos
43700-244,Rua,da Glória,,,Recanto dos Eucaliptos
43700-246,Avenida,Luís Eduardo Magalhães,,,Recanto dos Eucaliptos
43700-248,Rua,Maria Helena,,,Recanto dos Eucaliptos
43700-250,1ª Travessa,Santa  Rita,,,Recanto dos Eucaliptos
43700-252,Rua,H,,,Recanto dos Eucaliptos
43700-254,1ª Travessa,Contorno,,,Recanto dos Eucaliptos
43700-256,Travessa,Contorno,,,Recanto dos Eucaliptos
43700-258,1ª Travessa,Maria Helena,,,Recanto dos Eucaliptos
43700-260,2ª Travessa,Maria Helena,,,Recanto dos Eucaliptos
43700-262,Rua,Santa  Maria,,,Recanto dos Eucaliptos
43700-264,Travessa,Santa  Maria II,,,Recanto dos Eucaliptos
43700-266,Travessa,Santa  Maria I,,,Recanto dos Eucaliptos
43700-268,Travessa,Santa  Maria,,,Recanto dos Eucaliptos
43700-270,Rodovia,BA-093,,,Recanto dos Eucaliptos
43700-290,Rodovia,BA-093,,,Santa Rosa
43700-295,Rua,Lobrea,,,Santa Rosa
43700-500,Travessa,Santa  Rosa,,,Santa Rosa
43700-505,Rua,Santa  Rosa,,,Santa Rosa
43700-510,Rua,Estrada Fazenda Santa Rita,,,Santa Rosa
43700-515,Rua,da Glória,,,Santa Rosa
43700-520,Beco,Santa  Rosa,,,Santa Rosa
43700-525,Beco,da Glória,,,Santa Rosa
43700-530,1ª Travessa,da Glória,,,Santa Rosa
43700-535,Travessa,da Glória,,,Santa Rosa
43700-540,2ª Travessa,da Glória,,,Santa Rosa
43700-545,3ª Travessa,da Glória,,,Santa Rosa
43700-550,4ª Travessa,da Glória,,,Santa Rosa
43700-555,Estrada,da Adutora,,,Santa Rosa
43700-560,Travessa,da Adutora,,,Santa Rosa
43701-320,Acesso,BR-324,,,Santa Rosa
43701-325,Rodovia,BR-324,,,Santa Rosa
43701-330,Rua,Comercial 01,,Lot. Fazenda Real,Santa Rosa
43701-335,Rua,Comercial 02,,Lot. Fazenda Real,Santa Rosa
43701-340,Rua,Comercial 03,,Lot. Fazenda Real,Santa Rosa
43701-345,Avenida,Local 1,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-350,Avenida,Local 2,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-355,Avenida,Local 3,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-360,Avenida,Local 4,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-365,Avenida,Local 5,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-370,Avenida,Local 6,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-375,Avenida,Local 15,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-380,Avenida,Local 14,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-385,Avenida,Local 13,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-390,Avenida,Local 12,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-395,Avenida,Local 11,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-400,Avenida,Local 10,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-405,Avenida,Local 9,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-410,Avenida,Local 8,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-415,Avenida,Local 7,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-420,Avenida,Local 16,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-425,Rua,Local 16,,(3ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-430,Acesso,Coletora de Acesso,,Lot. Fazenda Real,Santa Rosa
43701-435,Retorno,Coletora de Acesso,,Lot. Fazenda Real,Santa Rosa
43701-440,Avenida,Local 14,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-445,Avenida,Local 7,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-450,Avenida,Local 6,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-455,Retorno,Principal,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-460,Avenida,Local 2,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-465,Avenida,Local 3,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-470,Avenida,Local 1,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-475,Avenida,Local 4,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-480,Avenida,Local 5,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-485,Avenida,Principal,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-490,Avenida,Local 8,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-495,Avenida,Local 10,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-500,Avenida,Local 11,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-505,Avenida,Local 9,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-510,Avenida,Local 13,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-515,Avenida,Local 12,,(1ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-520,Avenida,Local 10,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-525,Avenida,Local 12,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-530,Avenida,Local 11,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-535,Avenida,Local 9,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-540,Avenida,Local 5,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-545,Avenida,Local 8,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-550,Avenida,Local 6,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-555,Avenida,Local 4,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-560,Avenida,Local 3,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-565,Avenida,Local 1,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-570,Avenida,Principal 1,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-575,Avenida,Principal 2,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-580,Avenida,Local 14,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-585,Avenida,Local 15,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-590,Avenida,Local 16,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-595,Avenida,Local 17,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-600,Avenida,Local 21,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-605,Avenida,Local 20,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-610,Avenida,Local 19,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-615,Avenida,Local 18,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-620,Avenida,Local 23,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-625,Avenida,Local 22,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-630,Avenida,Local 24,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-635,Avenida,Local 25,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-640,Avenida,Local 26,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-645,Avenida,Local 13,,(2ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-650,Avenida,Local 27,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-655,Avenida,Local 28,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-660,Avenida,Local 26,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-665,Avenida,Local 19,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-670,Avenida,Local 18,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-675,Avenida,Local 17,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-680,Avenida,Local 16,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-685,Avenida,Local 2,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-690,Avenida,Local 1,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-695,Avenida,Local 4,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-700,Avenida,Local 5,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-705,Avenida,Local 6,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-710,Avenida,Local 7,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-715,Avenida,Local 8,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-720,Avenida,Local 9,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-725,Retorno,Local 1,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-730,Avenida,Local 10,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-735,Avenida,Principal 1,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-740,Avenida,Local 13,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-745,Avenida,Local 14,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-750,Avenida,Local 15,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-755,Avenida,Local 31,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-760,Avenida,Local 29,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-765,Avenida,Local 30,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-770,Avenida,Local 20,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-775,Avenida,Local 21,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-780,Avenida,Local 22,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-785,Avenida,Local 23,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-790,Avenida,Local 24,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43701-795,Avenida,Local 25,,(4ª Etapa) - Lot. Fazenda Real,Santa Rosa
43702-030,Rua,Antônio Dias Moraes,,,Santa Rosa
43702-035,Rua,Otizeiro,,,Santa Rosa
43702-040,2ª Travessa,Otizeiro,,,Santa Rosa
43702-045,Travessa,Otizeiro,,,Santa Rosa
43702-050,Travessa,Oiteiro,Antiga Rua Santa Rosa,,Santa Rosa
43702-055,Rua,Oiteiro,,,Santa Rosa
43702-140,Rodovia,BA-093,,,Jardim Renatão
43702-145,Rua,da Paz,,,Jardim Renatão
43702-150,Estrada,da Mafril,,,Jardim Renatão
43702-155,Rua,AH,,,Jardim Renatão
43702-160,3ª Rua,da Mafril,Antiga Rua AK,,Jardim Renatão
43702-165,Rua,Evandro de Souza,Antiga Rua AJ,,Jardim Renatão
43702-420,Rua,AB,,,Jardim Renatão
43702-425,Rua,AC,,,Jardim Renatão
43702-430,Rua,AB 2,,,Jardim Renatão
43702-435,Rua,Iraque,,,Jardim Renatão
43702-440,Rua,ArgentIna,,,Jardim Renatão
43702-445,Rua,Brás Cubas,,,Jardim Renatão
43702-450,Rua,Bolívia,,,Jardim Renatão
43702-455,Travessa,Bolívia,,,Jardim Renatão
43702-460,Rua,Getúlio Vargas,,,Jardim Renatão
43702-465,2ª Rua,Getúlio Vargas,,,Jardim Renatão
43702-470,Rua,Fazenda Renatão,,,Jardim Renatão
43702-475,Rua,M,,,Jardim Renatão
43702-485,Rua,O,,,Jardim Renatão
43702-480,Avenida,Washington Luís,,,Jardim Renatão
43702-490,Travessa,Getúlio Vargas,Antiga Rua Q,,Jardim Renatão
43702-495,Rua,G,,,Jardim Renatão
43702-500,Rua,I,,,Jardim Renatão
43702-505,Rua,Mem de Sá,,,Jardim Renatão
43702-510,Avenida,Sônia,Antiga Rua E,,Jardim Renatão
43702-515,2ª Travessa,Iemanjá,,,Jardim Renatão
43702-520,1ª Travessa,Iemanjá,,,Jardim Renatão
43702-525,Rua,Iemanjá,,,Jardim Renatão
43702-530,Rua,da Caixa D'Água,Antiga Rua K,,Jardim Renatão
43702-535,Caminho,Mem de Sá III,,,Jardim Renatão
43702-540,Caminho,Mem de Sá II,,,Jardim Renatão
43702-545,Caminho,Mem de Sá I,,,Jardim Renatão
43702-550,Travessa,da Caixa D'Água,,,Jardim Renatão
43702-555,Caminho,Mem de Sá,,,Jardim Renatão
43702-560,Travessa,Mem de Sá,,,Jardim Renatão
43702-565,Rua,Rodagem de Candeias,,,Jardim Renatão
43702-570,Rua,Duarte Coelho,,,Jardim Renatão
43702-575,Rua,Nova,,,Jardim Renatão
43702-580,Beco,CorrentIna,,,Jardim Renatão
43702-585,Rua,CorrentIna,,,Jardim Renatão
43702-590,Rua,Bela Vista,,,Jardim Renatão
43702-595,Rua,Quinze de Novembro,,,Jardim Renatão
43702-750,Rua,Quinze de Novembro,,,Cristo Rei
43702-755,Rua,Bela Vista,,,Cristo Rei
43702-760,Travessa,Otávio MangabeIra,,,Cristo Rei
43702-765,Beco,Otávio MangabeIra,,,Cristo Rei
43702-770,Largo,Otávio MangabeIra,,,Cristo Rei
43702-775,Rua,da Palinha,,,Cristo Rei
43702-780,1ª Travessa,da Palinha,,,Cristo Rei
43702-785,2ª Travessa,da Palinha,,,Cristo Rei
43702-790,Rua,Amor Divino,,,Cristo Rei
43702-795,Rua,São  Cristóvão,,,Cristo Rei
43702-800,Rua,Baraúna,,,Cristo Rei
43702-805,3ª Travessa,Baraúna,,,Cristo Rei
43702-810,2ª Travessa,Baraúna,,,Cristo Rei
43702-815,Travessa,Baraúna,,,Cristo Rei
43702-820,Rua,21 de Abril,,,Cristo Rei
43702-825,2ª Travessa,21 de Abril,,,Cristo Rei
43702-830,1ª Travessa,21 de Abril,,,Cristo Rei
43702-835,Rua,da Graça,,,Cristo Rei
43702-840,Rua,Campinas,,,Cristo Rei
43702-845,Rua,Feira de Santana,,,Cristo Rei
43702-850,Travessa,Feira de Santana,,,Cristo Rei
43702-855,Rua,Valença,,,Cristo Rei
43702-860,Rua,Ubaitaba,Antigo Beco Valença,,Cristo Rei
43702-865,Travessa,Valença,,,Cristo Rei
43702-870,Rua,Rio Branco,,,Cristo Rei
43702-875,Rua,Otávio MangabeIra,,,Cristo Rei
43702-880,Rua,Nova,,,Cristo Rei
43702-885,Rua,Visconde de Mauá,,,Cristo Rei
43702-890,Rua,Piracicaba,,,Cristo Rei
43702-895,Beco,Pouso das Águias,,,Cristo Rei
43703-000,Rua,Caravelas,,,Cristo Rei
43703-005,Rua,Leonardo Luís,,,Cristo Rei
43703-010,Rua,Dorotéia,,,Cristo Rei
43703-015,Rua,Resende Costa,,,Cristo Rei
43703-020,Rua,Santos Dumont,,,Cristo Rei
43703-025,Rua,São  Bernardo,,,Cristo Rei
43703-030,Beco,da Pátria,,,Cristo Rei
43703-035,Travessa,São  Miguel,,,Cristo Rei
43703-040,2ª Travessa,Almirante  Barroso,,,Cristo Rei
43703-045,Rua,da Fonte,,,Cristo Rei
43703-050,2ª Travessa,São  Cristóvão,,,Cristo Rei
43703-055,Rua,Mauá,,,Cristo Rei
43703-060,Rua,da Misericórdia,,,Cristo Rei
43703-065,Rua,Dois de Julho,,,Cristo Rei
43703-070,Travessa,Dois de Julho,,,Cristo Rei
43703-075,Rua,Almirante  Barroso,,,Cristo Rei
43703-080,1ª Travessa,Almirante  Barroso,,,Cristo Rei
43703-085,Beco,São  Bernardo,,,Cristo Rei
43703-090,Rua,Eunápolis,,,Cristo Rei
43703-095,Rua,Porto Seguro,,,Cristo Rei
43703-100,Rua,Almirante  Tamandaré,,,Cristo Rei
43703-105,Rua,Pouso das Águias,,,Cristo Rei
43703-110,Caminho,Almirante  Barroso,,,Cristo Rei
43703-115,Rua,Eduardo Simões,,,Cristo Rei
43703-120,Rua,São  Vicente,,,Cristo Rei
43703-125,Rua,Riachuelo,,,Cristo Rei
43703-130,Escada,Riachuelo,,,Cristo Rei
43703-135,Travessa,Riachuelo,,,Cristo Rei
43703-140,Travessa,Washington Luís,,,Cristo Rei
43703-200,Avenida,Washington Luís,,,Cristo Rei
43703-210,Avenida,Washington Luís,,,Engenho Novo
43703-215,Rua,Mem de Sá,,,Engenho Novo
43703-220,Rodovia,BA-093,,,Engenho Novo
43703-225,Rua,13 de Maio,,,Engenho Novo
43703-230,Rua,Espanha,,,Engenho Novo
43703-235,Rua,do  Canal,,,Engenho Novo
43703-240,Rua,MéxIco,,,Engenho Novo
43703-245,Beco,Mem de Sá,,,Engenho Novo
43703-250,Rua,Inglaterra,,,Engenho Novo
43703-255,Rua,Duarte Coelho,,,Engenho Novo
43703-410,Rua,São  Luiz,,,Engenho Novo
43703-670,Rua,Ivonice,,,Engenho Novo
43703-675,Rua,Estácio de Sá,,,Engenho Novo
43703-680,Travessa,Pernambuco,,,Engenho Novo
43703-685,Rua,Pernambuco,,,Engenho Novo
43703-690,Rua,Alagoas,,,Engenho Novo
43703-695,Rua,Estácio de Sá II,,,Engenho Novo
43703-700,Rua,Presidente  Castelo Branco,,,Engenho Novo
43703-705,Travessa,Presidente  Castelo Branco,,,Engenho Novo
43703-710,Rua,da Cerâmica,Antiga Rua Edson Almeida,,Engenho Novo
43703-715,Rua,da Grécia,,,Engenho Novo
43703-720,Rua,da Babilônia,,,Engenho Novo
43703-725,3ª Travessa,Estácio de Sá,,,Engenho Novo
43703-730,2ª Travessa,Estácio de Sá,,,Engenho Novo
43703-735,1ª Travessa,Estácio de Sá,,,Engenho Novo
43703-740,Rua,São  Clemente,Antiga Rua São Roque I,,Engenho Novo
43703-745,Travessa,São  Clemente,Antiga Rua E,,Engenho Novo
43703-750,Travessa,Estácio de Sá,Antiga Rua Portela,,Engenho Novo
43703-755,Rua,São  Roque,,,Engenho Novo
43703-760,Travessa,Jaime Santana Sodré Pereira,Antiga Travessa Boa Fé,,Engenho Novo
43703-765,Rua,I,,,Engenho Novo
43703-770,Rua,Jaime Santana Sodré Pereira,Antiga Rua Boa Fé,,Engenho Novo
43703-775,Rua,F,,,Engenho Novo
43703-780,Rua,A,,,Engenho Novo
43703-785,Rua,Bráulio Muniz,,,Engenho Novo
43703-790,Rua,Arlete Serra,Antiga Tv Braulio Muniz,,Engenho Novo
43703-795,1ª Travessa,São  Roque,,,Engenho Novo
43703-800,Travessa,Braúlio MunIz II,Antiga Tv. Braulio Muniz IV,,Engenho Novo
43703-805,Travessa,Bráulio Muniz I,Antiga Tv. Braulio Muniz II,,Engenho Novo
43703-810,Travessa,Santa  Rita,Antiga Tv.I Braulio Muniz,,Engenho Novo
43703-815,Travessa,Simões II,Antiga Tv. 1° Simões,,Engenho Novo
43703-820,Rua,Cavan Ville,,,Engenho Novo
43703-825,Travessa,Bráulio Muniz,Antigo Beco Paulo Ganem Souto,,Engenho Novo
43703-830,Avenida,Simões,,,Engenho Novo
43703-835,Travessa,Simões V,Antiga Tv. da Rua C,,Engenho Novo
43703-840,Travessa,Clementino Rodrigues,Antiga Tv. Simões,,Engenho Novo
43703-845,Travessa,Simões III,Antigo Caminho A,,Engenho Novo
43703-850,Caminho,A,,,Engenho Novo
43703-855,Rua,Afonso HenrIque,,,Engenho Novo
43703-860,Rua,Bráulio Muniz I,,,Engenho Novo
